Name,Type,Calories,Proteins,Fats,Carbs,Meal_Type,Category
Methi chaman,Non-Veg,475.62,1.54,50.91,2.78,Dinner,Dry
Sarson ka saag,Veg,87.84,3.0,5.86,5.33,Lunch,Gravy
Sarson ka saag,Veg,87.84,3.0,5.86,5.33,Dinner,Gravy
Jackfruit sabzi (Kathal ki sabzi),Veg,625.4,0.69,67.6,3.4,Lunch,Dry
Jackfruit sabzi (Kathal ki sabzi),Veg,625.4,0.69,67.6,3.4,Dinner,Dry
Avial,Veg,124.56,2.46,8.94,8.47,Snack,Snack
Al yakhani,Veg,147.54,2.86,13.14,4.65,Snack,Snack
Shahi paneer,Veg,156.5,5.06,12.34,6.64,Lunch,Gravy
Shahi paneer,Veg,156.5,5.06,12.34,6.64,Dinner,Gravy
Paneer in butter sauce,Veg,145.61,6.99,8.81,9.7,Lunch,Gravy
Paneer in butter sauce,Veg,145.61,6.99,8.81,9.7,Dinner,Gravy
Methi malai paneer,Veg,194.98,7.34,14.76,8.15,Lunch,Gravy
Methi malai paneer,Veg,194.98,7.34,14.76,8.15,Dinner,Gravy
Chilli paneer,Veg,777.51,2.1,84.01,3.31,Lunch,Gravy
Chilli paneer,Veg,777.51,2.1,84.01,3.31,Dinner,Gravy
Paneer makhana korma,Veg,775.82,3.24,82.76,4.63,Lunch,Gravy
Paneer makhana korma,Veg,775.82,3.24,82.76,4.63,Dinner,Gravy
Kadhai Paneer,Veg,107.99,4.33,6.81,7.34,Lunch,Gravy
Kadhai Paneer,Veg,107.99,4.33,6.81,7.34,Dinner,Gravy
Roghan josh,Veg,139.59,9.56,9.02,4.93,Snack,Snack
Spinach mutton (Palak mutton),Non-Veg,80.32,5.74,4.71,3.45,Lunch,Gravy
Spinach mutton (Palak mutton),Non-Veg,80.32,5.74,4.71,3.45,Dinner,Gravy
Pea keema curry (Matar keema ki sabzi),Non-Veg,133.0,8.43,8.14,6.24,Lunch,Gravy
Pea keema curry (Matar keema ki sabzi),Non-Veg,133.0,8.43,8.14,6.24,Dinner,Gravy
Keema kofta curry,Non-Veg,154.45,9.77,10.39,5.64,Lunch,Gravy
Keema kofta curry,Non-Veg,154.45,9.77,10.39,5.64,Dinner,Gravy
Kashmiri mutton koftas (Gushtaba),Non-Veg,97.42,6.33,6.77,3.04,Lunch,Gravy
Kashmiri mutton koftas (Gushtaba),Non-Veg,97.42,6.33,6.77,3.04,Dinner,Gravy
Mutton yakhni,Non-Veg,104.13,8.27,7.7,0.84,Lunch,Gravy
Mutton yakhni,Non-Veg,104.13,8.27,7.7,0.84,Dinner,Gravy
Chicken yakhni,Non-Veg,99.0,10.66,6.1,0.78,Lunch,Gravy
Chicken yakhni,Non-Veg,99.0,10.66,6.1,0.78,Dinner,Gravy
Mutton do piaza,Non-Veg,183.3,9.39,14.41,4.14,Lunch,Gravy
Mutton do piaza,Non-Veg,183.3,9.39,14.41,4.14,Dinner,Gravy
Mutton chops,Non-Veg,663.64,4.03,71.31,1.48,Lunch,Gravy
Mutton chops,Non-Veg,663.64,4.03,71.31,1.48,Dinner,Gravy
Shammi kebab,Non-Veg,685.69,4.52,72.61,3.54,Snack,Snack
Scotch egg,Non-Veg,676.89,4.05,72.62,1.91,Snack,Snack
Shepherd's pie (with minced meat),Non-Veg,142.78,7.45,8.88,8.06,Snack,Snack
Chicken curry,Non-Veg,129.22,11.79,7.57,3.38,Lunch,Gravy
Chicken curry,Non-Veg,129.22,11.79,7.57,3.38,Dinner,Gravy
Tandoori chicken,Non-Veg,145.2,16.26,7.93,2.34,Lunch,Gravy
Tandoori chicken,Non-Veg,145.2,16.26,7.93,2.34,Dinner,Gravy
Butter chicken,Non-Veg,137.0,10.92,8.7,3.74,Lunch,Gravy
Butter chicken,Non-Veg,137.0,10.92,8.7,3.74,Dinner,Gravy
Chicken kebab,Non-Veg,729.41,3.71,78.89,1.11,Lunch,Gravy
Chicken kebab,Non-Veg,729.41,3.71,78.89,1.11,Dinner,Gravy
Chilli chicken,Non-Veg,198.83,9.57,16.56,2.86,Lunch,Gravy
Chilli chicken,Non-Veg,198.83,9.57,16.56,2.86,Dinner,Gravy
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),Non-Veg,125.03,11.48,7.61,2.51,Side,Side
Fish curry (Machli curry),Non-Veg,111.13,8.76,6.69,3.77,Lunch,Gravy
Fish curry (Machli curry),Non-Veg,111.13,8.76,6.69,3.77,Dinner,Gravy
Fried fish (Indian style) (Tali hui machli),Non-Veg,658.54,4.35,68.88,5.4,Lunch,Gravy
Fried fish (Indian style) (Tali hui machli),Non-Veg,658.54,4.35,68.88,5.4,Dinner,Gravy
Fried fish and Chips (English Style) (Tali hui machli aur chips),Non-Veg,651.75,3.36,69.69,2.77,Snack,Snack
