Name,Type,Calories,Proteins,Fats,Carbs,Meal_Type,Category
Garlic chutney/Poondu chutney (Lahasun ki chutney),Veg,255.51,3.34,17.55,20.44,Side,Side
Schezwan chutney,Veg,205.19,3.33,17.72,10.79,Side,Side
Onion chutney (Pyaaz ki chutney/Vengaya chutney),Veg,143.94,2.97,8.38,13.52,Side,Side
Dates chutney (Khajoor ki chutney),Veg,103.57,1.07,1.12,21.69,Side,Side
Chicken salad,Non-Veg,338.19,15.33,30.26,1.3,Side,Side
Macaroni salad,Veg,262.19,5.02,17.78,21.63,Side,Side
Cabbage raita (Pattagobhi raita),Veg,84.84,3.24,5.76,5.25,Side,Side
Pomegranate raita (Anaar ka raita),Veg,72.64,4.05,3.24,7.15,Side,Side
Onion raita (Pyaaz ka raita),Veg,71.56,4.86,2.43,7.86,Side,Side
Green chilli raita (Hari mirch ka raita),Veg,77.13,5.58,2.92,7.66,Side,Side
Kale salad,Veg,177.71,4.86,15.33,5.01,Side,Side
Spinach and paneer souffle ,Veg,186.19,7.56,13.49,9.64,Lunch,Gravy
Spinach and paneer souffle ,Veg,186.19,7.56,13.49,9.64,Dinner,Gravy
Chicken and cheese souffle,Non-Veg,182.35,9.07,14.74,3.47,Lunch,Gravy
Chicken and cheese souffle,Non-Veg,182.35,9.07,14.74,3.47,Dinner,Gravy
Tamarind chutney (Chintapandu pachadi/Puli chutney),Veg,109.15,0.88,0.48,25.07,Side,Side
Green chutney,Veg,79.42,5.42,1.6,10.01,Side,Side
Sago khitchdi/khichri (Sabudana khitchdi/khichri),Veg,187.16,2.72,10.1,22.41,Snack,Snack
Vegetable namkeen jave,Veg,112.23,2.93,2.51,18.98,Snack,Snack
Khakhra,Veg,178.5,4.78,5.32,27.66,Snack,Snack
Moong bean dosa (Pesarattu),Veg,285.96,12.32,11.67,31.91,Breakfast,Breakfast
Methi thepla,Veg,346.16,8.98,15.95,41.34,Breakfast,Breakfast
Rice puttu (Ari puttu),Veg,81.98,1.26,3.13,11.82,Lunch,RiceSide
Rice puttu (Ari puttu),Veg,81.98,1.26,3.13,11.82,Dinner,RiceSide
Buckwheat pancake (Khura),Veg,263.3,2.91,16.43,27.28,Snack,Snack
Quinoa khichdi/khichri,Veg,64.01,3.18,1.59,8.83,Lunch,Complete
Quinoa khichdi/khichri,Veg,64.01,3.18,1.59,8.83,Dinner,Complete
Khakhra chaat,Veg,358.66,4.52,30.65,16.64,Snack,Snack
Banana appam,Veg,469.81,1.17,42.53,20.06,Breakfast,Breakfast
Veg manchurian,Veg,585.64,0.89,61.65,6.82,Snack,Snack
Pav bhaji,Veg,96.53,2.66,4.32,11.99,Snack,Snack
Rice murukku,Veg,593.99,5.41,48.22,33.29,Snack,Snack
Bhel puri ,Veg,509.89,3.52,47.91,16.47,Breakfast,Breakfast
Semolina dhokla (Suji/Rava dhokla),Veg,194.91,5.44,5.2,30.86,Snack,Snack
Spicy corn chaat ,Veg,479.8,4.61,46.55,11.45,Snack,Snack
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),Veg,597.79,2.34,54.41,24.0,Snack,Snack
Banana chips (Kele ke chips),Veg,665.67,0.37,70.46,7.32,Snack,Snack
Wheat cake,Veg,314.63,4.79,14.95,41.13,Snack,Snack
Mango cheesecake,Veg,152.46,2.39,7.3,20.06,Snack,Snack
Carrot cake (Gajar ka cake),Veg,255.59,5.6,10.27,35.98,Snack,Snack
Semolina cake (Suji/Rava cake),Veg,374.14,6.58,25.18,31.32,Snack,Snack
Finger millet cake (Ragi cake),Veg,279.46,3.96,12.27,38.93,Snack,Snack
Honey cake,Veg,333.59,3.08,14.7,49.04,Snack,Snack
Almond cardamom cake (Badam elaichi cake),Veg,356.35,7.18,21.36,34.53,Snack,Snack
Tutti frutti cake,Veg,347.72,4.49,12.68,52.94,Snack,Snack
Ham and Bean soup,Non-Veg,96.04,10.61,4.15,4.18,Side,Beverage
Whey soup,Veg,68.91,3.45,3.34,6.26,Side,Beverage
Bottle gourd soup (Ghiya/Lauki soup),Veg,23.05,0.45,1.79,1.16,Side,Beverage
Baked potato soup,Veg,147.05,5.73,11.21,5.85,Side,Beverage
Pumpkin soup,Veg,40.05,0.47,3.2,2.08,Side,Beverage
Sweet corn soup,Veg,32.25,0.99,1.63,3.56,Snack,Snack
Paneer soup,Veg,47.85,3.22,2.8,2.42,Side,Beverage
Curried Cauliflower soup,Veg,37.32,6.72,9.77,3.12,Side,Beverage
Millet soup,Veg,55.99,11.26,12.57,8.22,Side,Beverage
Lemon coriander soup,Veg,108.06,2.27,6.26,10.32,Side,Beverage
Garlic soup,Veg,194.86,2.38,17.62,6.99,Side,Beverage
Dal makhani,Veg,74.04,3.32,3.06,7.96,Lunch,Gravy
Dal makhani,Veg,74.04,3.32,3.06,7.96,Dinner,Gravy
Dalma,Veg,118.93,4.91,4.58,15.04,Lunch,Gravy
Dalma,Veg,118.93,4.91,4.58,15.04,Dinner,Gravy
Split bengal gram dal (Channa dal),Veg,99.67,4.15,4.62,9.99,Lunch,Gravy
Split bengal gram dal (Channa dal),Veg,99.67,4.15,4.62,9.99,Dinner,Gravy
Horsegram dal (Kulthi dal) ,Veg,55.65,2.91,1.13,8.21,Lunch,Gravy
Horsegram dal (Kulthi dal) ,Veg,55.65,2.91,1.13,8.21,Dinner,Gravy
Panchmel dal,Veg,111.22,4.63,5.36,10.71,Lunch,Gravy
Panchmel dal,Veg,111.22,4.63,5.36,10.71,Dinner,Gravy
Dal dhokli,Veg,68.74,2.96,2.47,8.55,Lunch,Gravy
Dal dhokli,Veg,68.74,2.96,2.47,8.55,Dinner,Gravy
Gujarati handvo ,Veg,207.09,8.24,4.8,31.86,Snack,Snack
Sev (Omapodi/Karapusa),Veg,609.14,5.12,60.08,12.87,Snack,Snack
Papdi,Veg,708.96,1.83,72.11,12.89,Snack,Snack
Jowar dosa,Veg,294.35,8.5,10.28,40.53,Breakfast,Breakfast
Bread roll,Veg,435.46,2.85,40.25,16.12,Snack,Snack
Soya seekh kebab,Veg,115.05,5.4,5.88,10.0,Snack,Snack
Classic seasoned black beans,Veg,28.78,8.01,8.28,7.66,Side,Beverage
Maa chaane ki dal,Veg,344.67,19.8,9.5,43.11,Lunch,Gravy
Maa chaane ki dal,Veg,344.67,19.8,9.5,43.11,Dinner,Gravy
Garlic chickpea soup (Lahasun aur chane ka shoraba),Veg,89.53,4.45,2.01,13.92,Side,Beverage
Classic italian pasta,Veg,42.12,0.57,2.45,4.4,Side,Beverage
Pasta spinach sauce,Veg,85.46,1.76,7.9,1.76,Lunch,Complete
Pasta spinach sauce,Veg,85.46,1.76,7.9,1.76,Dinner,Complete
Pasta cheese sauce,Veg,149.26,4.33,10.84,9.0,Lunch,Complete
Pasta cheese sauce,Veg,149.26,4.33,10.84,9.0,Dinner,Complete
Short crust pastry,Veg,422.1,6.11,23.98,44.72,Snack,Snack
Choux pastry,Veg,222.37,5.55,14.96,16.2,Snack,Snack
Flaky pastry,Veg,443.94,4.69,31.99,33.61,Snack,Snack
Sponge cake ,Veg,253.77,9.18,4.74,44.63,Snack,Snack
Channa murmura premix,Veg,339.09,10.59,3.28,72.59,Snack,Snack
Cracked wheat and green gram dal premix (Dalia moong dal premix),Veg,362.16,15.89,5.11,64.75,Lunch,Gravy
Cracked wheat and green gram dal premix (Dalia moong dal premix),Veg,362.16,15.89,5.11,64.75,Dinner,Gravy
Rice flakes and roasted channa ,Veg,333.4,10.57,2.94,71.94,Lunch,RiceSide
Rice flakes and roasted channa ,Veg,333.4,10.57,2.94,71.94,Dinner,RiceSide
Spinach soup in milk ,Veg,56.72,2.89,3.2,3.98,Side,Beverage
Vegetable soup,Veg,55.21,2.22,1.55,7.6,Side,Beverage
Mashed banana with milk,Veg,95.43,2.51,2.99,14.62,Side,Beverage
Poha with curd (Poha aur dahi),Veg,173.32,6.01,4.65,26.72,Side,Side
Potato with curd,Veg,73.18,3.19,1.33,12.01,Side,Side
Sweet wheat porridge (Sweet dalia),Veg,140.66,5.11,2.79,23.77,Snack,Snack
Vegetable khichdi/khichri,Veg,143.17,5.61,4.53,19.57,Lunch,Complete
Vegetable khichdi/khichri,Veg,143.17,5.61,4.53,19.57,Dinner,Complete
Moong dal mixture,Veg,158.84,4.62,1.0,33.93,Snack,Snack
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),Veg,167.45,7.56,5.52,22.35,Lunch,Complete
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),Veg,167.45,7.56,5.52,22.35,Dinner,Complete
Stewed apple,Veg,91.93,0.17,0.37,22.49,Lunch,Gravy
Stewed apple,Veg,91.93,0.17,0.37,22.49,Dinner,Gravy
Orange marmalade (Santray ka murabba),Veg,104.17,0.66,0.13,25.94,Snack,Snack
Carrot murabba (Gajar ka murabba),Veg,175.24,0.32,0.16,45.6,Lunch,Dry
Carrot murabba (Gajar ka murabba),Veg,175.24,0.32,0.16,45.6,Dinner,Dry
Gooseberry marmalade (Amla murabba),Veg,123.16,0.14,0.03,32.34,Snack,Snack
Ginger candy (Adrak ki candy),Veg,195.71,0.69,0.27,50.38,Snack,Snack
Mango pickle (Aam ka achaar),Veg,192.12,1.6,17.89,8.11,Side,Side
Mixed vegetable pickle (Sabziyoon ka achaar),Veg,211.2,1.9,19.68,7.48,Side,Side
Sweet lemon pickle (Neembu ka meetha achaar),Veg,69.54,1.22,0.21,16.87,Snack,Snack
Plum chutney (Aloo bukhara ki chutney),Veg,177.11,0.47,0.29,44.95,Side,Side
Home made plain noodles,Veg,238.78,6.21,3.56,44.5,Lunch,Complete
Home made plain noodles,Veg,238.78,6.21,3.56,44.5,Dinner,Complete
Dal moong,Veg,43.69,2.2,1.62,4.92,Lunch,Gravy
Dal moong,Veg,43.69,2.2,1.62,4.92,Dinner,Gravy
Onion tomato baghar (Pyaaz tamatar ka tadka),Veg,137.52,1.26,11.98,6.17,Snack,Snack
Marmalade (Murabba),Veg,143.76,0.23,0.04,37.64,Snack,Snack
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),Veg,14.07,0.85,0.24,2.14,Side,Side
Brinjal pickle (Baingan ka achaar),Veg,139.01,2.24,12.98,4.23,Side,Side
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),Veg,60.88,1.26,3.24,6.55,Snack,Snack
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),Veg,91.21,1.98,6.55,6.32,Side,Side
Tomato chutney (Tamatar ki chutney),Veg,176.07,0.97,6.01,31.85,Side,Side
Tomato ketchup,Veg,33.07,0.91,0.3,6.48,Snack,Snack
